Name,Claude conversation,Download,Host,Long Clip Status,Parent item,Publish Date,Record Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Sub-item,Thumbnail,YouTube Link,🔮 Master Content Database
Michelle Rhee,,https://web.descript.com/b70fabcc-2df2-4b50-88c1-5424d45d83a4/9961b?editorVariant=default,"Ela, Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/86ee4e81-d22d-4111-ba6a-971cf8725d80?hls=true,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980a2a05df4b8b8731dc2.md),,,"Clip #1: The Looping Innovation (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#1%20The%20Looping%20Innovation%20214afe52ef598068b2b3f1b0d5fe90fe.md), Clip #2: The Homework Contradiction (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#2%20The%20Homework%20Contradiction%20214afe52ef5980ac8a74fbd4f2f7e456.md), Clip #3: The Private vs. Public School Reality Check (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#3%20The%20Private%20vs%20Public%20School%20Reality%20Check%20214afe52ef5980d38626d67c8597fdd1.md), Michelle Rhee Blog Post (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michelle%20Rhee%20Blog%20Post%20222afe52ef5980a9879fee8bf1958a33.md), They Ate me for lunch (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/They%20Ate%20me%20for%20lunch%2022bafe52ef598024a7c7fbd5d013467b.md), Socials for michelle (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Socials%20for%20michelle%2022dafe52ef5980229d94c22f88a79744.md), VR Education (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/VR%20Education%2022dafe52ef5980a69d1fc4745488d7a3.md)"
Corey DeAngelis - School Choice,,https://web.descript.com/5588a6df-e5f2-4be7-852e-18d74f6a3b07/feb52?editorVariant=default,"Charlie, Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/7f7a1448-c310-4a9f-a085-66b747b993a6?hls=true,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59803b9c25fb7688fe5471.md),,,"Corey DeAngelis - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Corey%20DeAngelis%20-%20Social%20Media%20Package%20253afe52ef5980149afee60a8963e82b.md), Corey DeAngelis - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Corey%20DeAngelis%20-%20Blog%20Post%20Package%20253afe52ef5980229782deace1356340.md), Corey DeAngelis - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Corey%20DeAngelis%20-%20Youtube%20Package%20253afe52ef59805cbb11e73e595f0434.md)"
"Darryll Stinson - Hybrid Schooling / Motivation ",,https://web.descript.com/a34cf19b-3e2d-4fcc-b99c-b850c45a7c9f/08684?editorVariant=default,Matt,Done,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/195c4b9d-9d71-42c8-be5e-e8025e119f9e?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59802f94f0d44e61817ef6.md),,,"LONG CLIP #1 - ""This dude’s trying to get my kids expelled” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#1%20-%20This%20dude%E2%80%99s%20trying%20to%20get%20my%20kids%20e%2022bafe52ef59801c8626c83c6276cf45.md), His Kids Skipped School for 100 Days. Here’s what happened. (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/His%20Kids%20Skipped%20School%20for%20100%20Days%20Here%E2%80%99s%20what%20h%2022bafe52ef59803f90d9fe84cff18af0.md), LONG CLIP #2 -  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#2%20-%2022bafe52ef59807e8f58ff4b226bf071.md), What happens when kids miss over 100 days of school (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/What%20happens%20when%20kids%20miss%20over%20100%20days%20of%20schoo%2022dafe52ef5980198f53f38a8d332377.md), OpenEd Daily Newsletter - July 31, 2025 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OpenEd%20Daily%20Newsletter%20-%20July%2031,%202025%20241afe52ef59804fac68fc5b7d7b8978.md)"
"Amren, Malia, and Savanah Breinholt ",,,,Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980958abaee7f21589bf3.md),,,
Benton Crane,,https://share.descript.com/view/pr91hkaoaSr,"Ela, Isaac, Matt",Done,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/685d6ff61bb32340e34c9b2d?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,,,,"Blog Post Benton Crane (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20Benton%20Crane%20222afe52ef5980699c35da4552e856a2.md), SCRIPT FOR ""3 REASONS WHY ENTERTAINERS MAKE THE BEST MARKETERS"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/SCRIPT%20FOR%203%20REASONS%20WHY%20ENTERTAINERS%20MAKE%20THE%20BES%20223afe52ef5980079ebfcb2c31dfa15a.md), The $100M Marketing Secret Nobody Talks About (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20$100M%20Marketing%20Secret%20Nobody%20Talks%20About%20223afe52ef59806a8d7ee80e1a759475.md), ""The Mistake That Started a World War: Young George Washington's Epic Failure"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Mistake%20That%20Started%20a%20World%20War%20Young%20George%20%20223afe52ef59806bb92edc3f3bddd73f.md), YouTube (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/YouTube%20223afe52ef5980ffac6ccea1afd5e708.md), NEwsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/NEwsletter%20224afe52ef5980ab9f95f78473726f8c.md)"
"Ray Ravaglia  ",,https://web.descript.com/84fdc514-2a66-4675-9c24-e95c53398b4b/6e066?editorVariant=default,"Ela, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/9383a974-68f0-472f-808d-351558477def?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980559233e9db57ba5cd9.md),,,"Ray Ravaglia - Virtual School (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravaglia%20-%20Virtual%20School%2024cafe52ef59807a9a3eca9a23afad32.md), Ray Ravaglia - YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravaglia%20-%20YouTube%20Package%2024cafe52ef5980abafedcab9b7013067.md), Ray Ravaglia - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravaglia%20-%20Blog%20Post%20Package%2024cafe52ef5980b78685e355c9bdb6c8.md), Ray Ravalgia - Newsletter Draft (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravalgia%20-%20Newsletter%20Draft%20251afe52ef5980c3b647c4df212d7718.md), Clips (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clips%20253afe52ef59801487dcf6517f0d6a81.md), Long Form (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Long%20Form%20253afe52ef59803eafd5c51e9fcdb33f.md), Ray Ravalgia -  Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravalgia%20-%20Social%20Media%20Package%20253afe52ef5980eba674c92042462b6d.md)"
Michelle Rhee and Michael Horn,,https://web.descript.com/2ec09835-51bf-41fd-bbf8-89d57c681a88/c55d9?kind=video_project&lite=false,Isaac,Done,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6871519d6be17a4e9509a2cf?activeTab=recordings&hls=true,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598056a193f66d513731ac.md),,,"LONG CLIP #2 — “How to help kids build confidence and find meaningful work” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#2%20%E2%80%94%20%E2%80%9CHow%20to%20help%20kids%20build%20confidence%20%20239afe52ef598077af10d638e72bcc56.md), LONG CLIP #1 — “Why college is no longer the guaranteed path to success” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#1%20%E2%80%94%20%E2%80%9CWhy%20college%20is%20no%20longer%20the%20guara%20239afe52ef5980aa93f2eb1bbb3653a1.md), LONG CLIP #3 — “Why teens jump jobs—and what they’re really looking for” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#3%20%E2%80%94%20%E2%80%9CWhy%20teens%20jump%20jobs%E2%80%94and%20what%20they%E2%80%99%20239afe52ef5980bc82b4e6395c859dd6.md), Why ""Good"" Parents Are Accidentally Raising Weak Kids (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Why%20Good%20Parents%20Are%20Accidentally%20Raising%20Weak%20Kid%20248afe52ef5980cea299f3972dc8de21.md), Clip 1 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%201%20249afe52ef598059abc3c8e7ba45d138.md), Michelle Rhee/Michael Horn podcast assets (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michelle%20Rhee%20Michael%20Horn%20podcast%20assets%2024eafe52ef59800d82e5e4ee32b95d28.md), Subject: College is broken (here’s what replaces it) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Subject%20College%20is%20broken%20(here%E2%80%99s%20what%20replaces%20it%2024eafe52ef598099a214dfb0bc147674.md), Michelle Rhee assets (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michelle%20Rhee%20assets%2024fafe52ef5980eab12ee7d435588c22.md)"
Meg Thomas,,https://web.descript.com/b95fe146-53d3-4963-bb57-63e3735a4240?editorVariant=default,"Ela, Isaac, Matt",Not started,,,,,Done,https://opened-co.zoom.us/rec/share/JBtgC_DC5IDWvE1A1psSWJ7-w9OiIb5Dz2Xhobi8A-RIwgT6creUw__gfDzkbBsL.t8IINAaknPJPcyxb?startTime=1752197077000,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980c29020f2736a52755c.md),,,How to Start Homeschooling With Confidence (Even If You're Scared or New) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/How%20to%20Start%20Homeschooling%20With%20Confidence%20(Even%20I%2020eafe52ef598052b0bbfd5839731502.md)
Long Clip,,,Ela,Not started,Sunny (Podcast/Podcast%20Master%20Calendar/Sunny%20720a1ca6a79c4f668f6f5193908b3d43.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Daniella Park - Baketivity (Podcast/Podcast%20Master%20Calendar/Daniella%20Park%20-%20Baketivity%2060a0a484db16430e8425a9a753c5087b.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac",Not started,007 - Ela & Isaac (Podcast/Podcast%20Master%20Calendar/007%20-%20Ela%20&%20Isaac%20793f077e2d8346b888af463be33c9c12.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac",Not started,Charlynn Chambers (Podcast/Podcast%20Master%20Calendar/Charlynn%20Chambers%2010bafe52ef598070a972d229e319694d.md),,,,Not started,,,Not started,,,,
Long Clips,,,Isaac,Not started,Jamie Lesko (Podcast/Podcast%20Master%20Calendar/Jamie%20Lesko%2010bafe52ef598041a164fd7a01a7ac04.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Q&A Matt Isaac ft. Andrea (Podcast/Podcast%20Master%20Calendar/Q&A%20Matt%20Isaac%20ft%20Andrea%20130afe52ef5980e19efed78938c9ddbc.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Sandy Grant (Podcast/Podcast%20Master%20Calendar/Sandy%20Grant%2010bafe52ef5980b5a928f25942008a76.md),,,,Not started,,,Not started,,,,
Long Clip,,,"Ela, Isaac, Matt",Not started,Cassie Shepherd (Podcast/Podcast%20Master%20Calendar/Cassie%20Shepherd%2010dafe52ef598018b014d68ab3f6e2e0.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Keri Mae (Podcast/Podcast%20Master%20Calendar/Keri%20Mae%2010dafe52ef5980918568fff525d44659.md),,,,Not started,,,Not started,,,,
Long Clips,,,Ela,Not started,Peggy Lowe (Podcast/Podcast%20Master%20Calendar/Peggy%20Lowe%20135afe52ef59805895f3f79f4d106752.md),,,,Not started,,,Not started,,,,
Long Clips,,,Ela,Not started,Laura Feller (Podcast/Podcast%20Master%20Calendar/Laura%20Feller%20135afe52ef598091a5b4fa292959c612.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Elle Tevebaugh (Podcast/Podcast%20Master%20Calendar/Elle%20Tevebaugh%20135afe52ef5980298eb0c19baaa92d91.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac",Not started,Eleyah Knight (Podcast/Podcast%20Master%20Calendar/Eleyah%20Knight%20135afe52ef598065b3cac6ebf9ac7372.md),,,,Not started,,,Not started,,,,
Long Clips,,,Isaac,Not started,Derrell Bradford (Podcast/Podcast%20Master%20Calendar/Derrell%20Bradford%20114afe52ef59804a92a9e8947741f7bd.md),,,,Not started,,,Not started,,,,
Long Clips,,,Isaac,Not started,Tyler Thigpen (Podcast/Podcast%20Master%20Calendar/Tyler%20Thigpen%20197afe52ef5980ddb594d5ee5a9a3446.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Isaac, Matt",Not started,TK x Isaac x Ela - the weird episode (Podcast/Podcast%20Master%20Calendar/TK%20x%20Isaac%20x%20Ela%20-%20the%20weird%20episode%201b6afe52ef5980edac98ccf3ba435f9c.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Isaac, Matt",Not started,Matt & Isaac Book Launch! (Podcast/Podcast%20Master%20Calendar/Matt%20&%20Isaac%20Book%20Launch!%201f1afe52ef5980a1882de4aa75095ee6.md),,,,Not started,,,Not started,,,,
Long Clips,,,Isaac,Not started,Connor Boyack (Podcast/Podcast%20Master%20Calendar/Connor%20Boyack%201f5afe52ef5980d19e59d6383c6e82ad.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Isaac, Matt",Not started,Ken Coleman (Podcast/Podcast%20Master%20Calendar/Ken%20Coleman%20203afe52ef59802894a7de0804e4b478.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Andrea, Isaac, Matt",Not started,Rose Ybaben and Danielle Randall (Podcast/Podcast%20Master%20Calendar/Rose%20Ybaben%20and%20Danielle%20Randall%201eaafe52ef59802bb342f63fdda17bfb.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Tony mickelson - Savvy Learning (Podcast/Podcast%20Master%20Calendar/Tony%20mickelson%20-%20Savvy%20Learning%201f5afe52ef5980ab9a19d8c677b923b1.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Isaac, Matt",Not started,Michelle Rhee (Podcast/Podcast%20Master%20Calendar/Michelle%20Rhee%20212afe52ef598063b04fcbffa0e87ddb.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Katie Kimball - Cooking / Confidence (Podcast/Podcast%20Master%20Calendar/Katie%20Kimball%20-%20Cooking%20Confidence%2020eafe52ef59806e97f6d76d3a419f50.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Darryll Stinson - Hybrid Schooling / Motivation  (Podcast/Podcast%20Master%20Calendar/Darryll%20Stinson%20-%20Hybrid%20Schooling%20Motivation%20215afe52ef59806a9762d705e000c242.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Meg Thomas (Podcast/Podcast%20Master%20Calendar/Meg%20Thomas%20230afe52ef5980cb9be8fc22777b2c10.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Zach Koon (Bottega University) (Podcast/Podcast%20Master%20Calendar/Zach%20Koon%20(Bottega%20University)%201cbafe52ef59802ebb68c982de7839e7.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Andrea, Charlie, Isaac",Not started,Kris Vassel - Dyslexia (Podcast/Podcast%20Master%20Calendar/Kris%20Vassel%20-%20Dyslexia%201fbafe52ef5980e1b327deaf7fb28dd5.md),,,,Not started,,,Not started,,,,
Long Clips,,,Isaac,Not started,Chet and Fletch (Andrea) - Hands-on Filmmaking (Podcast/Podcast%20Master%20Calendar/Chet%20and%20Fletch%20(Andrea)%20-%20Hands-on%20Filmmaking%20317b9daa8d0e4da380b5701bbb48ff91.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Matt",Not started,Ray Ravaglia   (Podcast/Podcast%20Master%20Calendar/Ray%20Ravaglia%2022aafe52ef5980bfacd0f6f255a54f0a.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Isaac, Matt",Not started,Corey DeAngelis - School Choice (Podcast/Podcast%20Master%20Calendar/Corey%20DeAngelis%20-%20School%20Choice%20215afe52ef59803bb62bf95232ca1f61.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Michelle Rhee and Michael Horn (Podcast/Podcast%20Master%20Calendar/Michelle%20Rhee%20and%20Michael%20Horn%2022aafe52ef5980db9bc4f2e9c40b216f.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,"Amren, Malia, and Savanah Breinholt  (Podcast/Podcast%20Master%20Calendar/Amren,%20Malia,%20and%20Savanah%20Breinholt%2021bafe52ef5980a89abdd8f62c44d760.md)",,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Meg Thomas Q&A (Podcast/Podcast%20Master%20Calendar/Meg%20Thomas%20Q&A%2020dafe52ef5980cd9a9ed755f33ed26d.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac, Matt",Not started,Teresa King on OpenEd Academy (Podcast/Podcast%20Master%20Calendar/Teresa%20King%20on%20OpenEd%20Academy%201f5afe52ef59803fa1b5d86d30f9eb6e.md),,,,Not started,,,Not started,,,,
Long Clips,,,Isaac,Not started,Jack Casdorph and Rachel Davie (Podcast/Podcast%20Master%20Calendar/Jack%20Casdorph%20and%20Rachel%20Davie%201ddafe52ef5980aab58fdd3798acfb63.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac",Not started,Amir Nathoo (Podcast/Podcast%20Master%20Calendar/Amir%20Nathoo%201daafe52ef5980238e8ddec2b1d99b01.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Matt",Not started,Cassie (Podcast/Podcast%20Master%20Calendar/Cassie%201c9afe52ef59803186e4ecc820148309.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Phillip Chipping (Podcast/Podcast%20Master%20Calendar/Phillip%20Chipping%201c7afe52ef5980869e1af94519694809.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Charlie, Isaac",Not started,Chizick (Podcast/Podcast%20Master%20Calendar/Chizick%201baafe52ef5980efada1c867fbc06308.md),,,,Not started,,,Not started,,,,
Long Clips,,,"Ela, Isaac",Not started,Maecy & ELa (Podcast/Podcast%20Master%20Calendar/Maecy%20&%20ELa%201b6afe52ef5980c6bfb7cafc6c311569.md),,,,Not started,,,Not started,,,,
Meg & Ela Long Clips,,,"Ela, Isaac, Matt",Not started,Meg & Ela (Podcast/Podcast%20Master%20Calendar/Meg%20&%20Ela%201acafe52ef59809eb702fe79ad1e3164.md),,,,Not started,,,Not started,,,,
Matt & Ela Q&A Long Clips,,,,Not started,Matt & Ela Q&A (Podcast/Podcast%20Master%20Calendar/Matt%20&%20Ela%20Q&A%20197afe52ef5980d48594c0d8062a5819.md),,,,Not started,,,Not started,,,,
Dalena Wallace Long Clips,,,"Ela, Isaac, Matt",Not started,Dalena Wallace (Podcast/Podcast%20Master%20Calendar/Dalena%20Wallace%20197afe52ef5980498048d52edbd95742.md),,,,Not started,,,Not started,,,,
Jennifer Jenkins Long Clips,,,Charlie,Not started,Jennifer Jenkins (Podcast/Podcast%20Master%20Calendar/Jennifer%20Jenkins%2018bafe52ef5980e786c2fb1483bc7ddd.md),,,,Not started,,,Not started,,,,
Matt Barnes & Matt Bowman Long Clips,,,Matt,Not started,Matt Barnes & Matt Bowman (Podcast/Podcast%20Master%20Calendar/Matt%20Barnes%20&%20Matt%20Bowman%20188afe52ef598042a069f8b927969b2c.md),,,,Not started,,,Not started,,,,
Andrew Campanella Long Clips,,,,Not started,Andrew Campanella (Podcast/Podcast%20Master%20Calendar/Andrew%20Campanella%20188afe52ef598053b14df0ea93866f3d.md),,,,Not started,,,Not started,,,,
Ben Kasica & Smallbone Long Clips,,,,Not started,Ben Kasica & Smallbone (Podcast/Podcast%20Master%20Calendar/Ben%20Kasica%20&%20Smallbone%2017eafe52ef598017a77de71f40291542.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Grant Hewitt (Podcast/Podcast%20Master%20Calendar/Grant%20Hewitt%20168afe52ef5980969b3bc69a59c5d530.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Jon England (Libertas Institute) (Podcast/Podcast%20Master%20Calendar/Jon%20England%20(Libertas%20Institute)%20e2c9edc809624e85b81389886b3c9421.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Tess Scholl (Podcast/Podcast%20Master%20Calendar/Tess%20Scholl%20168afe52ef5980028326c8868029c168.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,(Draft) Brettani Shannon (Podcast/Podcast%20Master%20Calendar/(Draft)%20Brettani%20Shannon%20168afe52ef5980089934c364866e4544.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Matt and Isaac Q&A (Podcast/Podcast%20Master%20Calendar/Matt%20and%20Isaac%20Q&A%20165afe52ef598054a8e5efaee96a018f.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Claire Honeycutt (Podcast/Podcast%20Master%20Calendar/Claire%20Honeycutt%2015eafe52ef5980a895e0daad6780ac0b.md),,,,Not started,,,Not started,,,,
Matt Beadreau Long Clips,,,,Not started,Matt Beadreau (Podcast/Podcast%20Master%20Calendar/Matt%20Beadreau%20105afe52ef5980baa7d5f7f94f4b345d.md),,,,Not started,,,Not started,,,,
Q&A Matt & Isaac September Long Clips,,,,Not started,Q&A Matt & Isaac September (Podcast/Podcast%20Master%20Calendar/Q&A%20Matt%20&%20Isaac%20September%20104afe52ef59808f9214cee0bf74dd7d.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Joey Mascio - Sidekick to Hero (Podcast/Podcast%20Master%20Calendar/Joey%20Mascio%20-%20Sidekick%20to%20Hero%20ba9c6c73774447e9a6c2bfb6b090b7ea.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Nature Kids Connect (Podcast/Podcast%20Master%20Calendar/Nature%20Kids%20Connect%20f8bc029fb2464abaaece245bca5f8d75.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Mark Hyatt - Falcon Aerolab (Podcast/Podcast%20Master%20Calendar/Mark%20Hyatt%20-%20Falcon%20Aerolab%20ce39859363294f028844ee5fe74a2869.md),,,,Not started,,,Not started,,,,
Long Clips,,,,Not started,Krystle Cordingley (Podcast/Podcast%20Master%20Calendar/Krystle%20Cordingley%204d6fb009789740959282f7e5e85a35c8.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,005 - Andrea Fife (Podcast/Podcast%20Master%20Calendar/005%20-%20Andrea%20Fife%20a8de552c039a4a258fb4150450e32815.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,002 - Matt & Isaac (Podcast/Podcast%20Master%20Calendar/002%20-%20Matt%20&%20Isaac%20191c8b423d424502a1923f4256cb60d0.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,Heidie Nesset (Podcast/Podcast%20Master%20Calendar/Heidie%20Nesset%207db0469332444371962b5e1f0fb5334c.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,Jantzen Russell (Independent Education Program) (Podcast/Podcast%20Master%20Calendar/Jantzen%20Russell%20(Independent%20Education%20Program)%203c587dcf9c924a93b2adbfde2e9ae6c3.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,Jacob at Musiquest (Podcast/Podcast%20Master%20Calendar/Jacob%20at%20Musiquest%20d1a8e04a1e924b369d28a687244d95b4.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,Zoe at Learn Libre (Podcast/Podcast%20Master%20Calendar/Zoe%20at%20Learn%20Libre%20149902611afe4596bf863cad7c03b094.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,Brian Vas on SNHU (Podcast/Podcast%20Master%20Calendar/Brian%20Vas%20on%20SNHU%2056ef9893d393447590d2ed0e7be03a1f.md),,,,Not started,,,Not started,,,,
Parent Long Clips,,,,Not started,Classical Education - Great Hearts (Podcast/Podcast%20Master%20Calendar/Classical%20Education%20-%20Great%20Hearts%20f8d7ce01740a450bbba8a409b91edfec.md),,,,Not started,,,Not started,,,,
Hannah Frankman Long Clips,,,,Not started,006 - Hannah Frankman - Deschooling (Podcast/Podcast%20Master%20Calendar/006%20-%20Hannah%20Frankman%20-%20Deschooling%202e4eab571b0144bc897536e9fd154662.md),,,,Not started,,,Not started,,,,
