Name,Host,Record Date,Claude conversation,Download,Long Clip Status,Publish Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Thumbnail,YouTube Link,🔮 Master Content Database
"Ray Ravaglia  ","Ela, Matt",,,https://web.descript.com/84fdc514-2a66-4675-9c24-e95c53398b4b/6e066?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/9383a974-68f0-472f-808d-351558477def?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Ray Ravaglia - Virtual School (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravaglia%20-%20Virtual%20School%2024cafe52ef59807a9a3eca9a23afad32.md), Ray Ravaglia - YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravaglia%20-%20YouTube%20Package%2024cafe52ef5980abafedcab9b7013067.md), Ray Ravaglia - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravaglia%20-%20Blog%20Post%20Package%2024cafe52ef5980b78685e355c9bdb6c8.md), Ray Ravalgia - Newsletter Draft (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravalgia%20-%20Newsletter%20Draft%20251afe52ef5980c3b647c4df212d7718.md), Clips (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clips%20253afe52ef59801487dcf6517f0d6a81.md), Long Form (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Long%20Form%20253afe52ef59803eafd5c51e9fcdb33f.md), Ray Ravalgia -  Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ray%20Ravalgia%20-%20Social%20Media%20Package%20253afe52ef5980eba674c92042462b6d.md)"
Michelle Rhee and Michael Horn,Isaac,,,https://web.descript.com/2ec09835-51bf-41fd-bbf8-89d57c681a88/c55d9?kind=video_project&lite=false,Done,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6871519d6be17a4e9509a2cf?activeTab=recordings&hls=true,,Done,,,"LONG CLIP #2 — “How to help kids build confidence and find meaningful work” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#2%20%E2%80%94%20%E2%80%9CHow%20to%20help%20kids%20build%20confidence%20%20239afe52ef598077af10d638e72bcc56.md), LONG CLIP #1 — “Why college is no longer the guaranteed path to success” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#1%20%E2%80%94%20%E2%80%9CWhy%20college%20is%20no%20longer%20the%20guara%20239afe52ef5980aa93f2eb1bbb3653a1.md), LONG CLIP #3 — “Why teens jump jobs—and what they’re really looking for” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/LONG%20CLIP%20#3%20%E2%80%94%20%E2%80%9CWhy%20teens%20jump%20jobs%E2%80%94and%20what%20they%E2%80%99%20239afe52ef5980bc82b4e6395c859dd6.md), Why ""Good"" Parents Are Accidentally Raising Weak Kids (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Why%20Good%20Parents%20Are%20Accidentally%20Raising%20Weak%20Kid%20248afe52ef5980cea299f3972dc8de21.md), Clip 1 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%201%20249afe52ef598059abc3c8e7ba45d138.md), Michelle Rhee/Michael Horn podcast assets (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michelle%20Rhee%20Michael%20Horn%20podcast%20assets%2024eafe52ef59800d82e5e4ee32b95d28.md), Subject: College is broken (here’s what replaces it) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Subject%20College%20is%20broken%20(here%E2%80%99s%20what%20replaces%20it%2024eafe52ef598099a214dfb0bc147674.md), Michelle Rhee assets (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michelle%20Rhee%20assets%2024fafe52ef5980eab12ee7d435588c22.md)"
Meg Thomas,"Ela, Isaac, Matt",,,https://web.descript.com/b95fe146-53d3-4963-bb57-63e3735a4240?editorVariant=default,Not started,,,Done,https://opened-co.zoom.us/rec/share/JBtgC_DC5IDWvE1A1psSWJ7-w9OiIb5Dz2Xhobi8A-RIwgT6creUw__gfDzkbBsL.t8IINAaknPJPcyxb?startTime=1752197077000,,Done,,,How to Start Homeschooling With Confidence (Even If You're Scared or New) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/How%20to%20Start%20Homeschooling%20With%20Confidence%20(Even%20I%2020eafe52ef598052b0bbfd5839731502.md)
Long Clip,Ela,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac",,,,Not started,,,Not started,,,Not started,,,
Long Clips,Isaac,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clip,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,Ela,,,,Not started,,,Not started,,,Not started,,,
Long Clips,Ela,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac",,,,Not started,,,Not started,,,Not started,,,
Long Clips,Isaac,,,,Not started,,,Not started,,,Not started,,,
Long Clips,Isaac,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,Isaac,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Andrea, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Andrea, Charlie, Isaac",,,,Not started,,,Not started,,,Not started,,,
Long Clips,Isaac,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,Isaac,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Matt",,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Charlie, Isaac",,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac",,,,Not started,,,Not started,,,Not started,,,
Meg & Ela Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Matt & Ela Q&A Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Dalena Wallace Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
Jennifer Jenkins Long Clips,Charlie,,,,Not started,,,Not started,,,Not started,,,
Matt Barnes & Matt Bowman Long Clips,Matt,,,,Not started,,,Not started,,,Not started,,,
Andrew Campanella Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Ben Kasica & Smallbone Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Matt Beadreau Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Q&A Matt & Isaac September Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Parent Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Hannah Frankman Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Michael B. Horn Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Matt Bowman & Isaac Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Corey DeAngelis Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Kerry McDonald Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Cassie Shepherd Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Aaron Osmond Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Emily Liebtag Long Clips,,,,,Not started,,,Not started,,,Not started,,,
Mike Goldstein,"Ela, Isaac, Matt",,,https://share.descript.com/view/GviQHX1MbUB,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6865663775f5b067d4a1460f?activeTab=recordings&hls=true,,Done,,,"Mike Goldstein Episode - YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Mike%20Goldstein%20Episode%20-%20YouTube%20Package%2024cafe52ef59801db710d57e5afe3f75.md), Blog Post Package - Mike Goldstein (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20Package%20-%20Mike%20Goldstein%2024dafe52ef5980a88d8efd6d127b29d1.md), Newsletter Draft: Mike Goldstein Episode (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Newsletter%20Draft%20Mike%20Goldstein%20Episode%2024eafe52ef5980fb93e1ca33fbb16116.md), Mike Goldstein Social Media package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Mike%20Goldstein%20Social%20Media%20package%20250afe52ef59803b912afd3c9ad23936.md)"
Jean Eddy,Ela,,,https://web.descript.com/824cfc25-dbef-4cae-8df6-d402f177debe/9137b,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/8f8587b5-5eee-4283-bdb8-605440d552e7?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Jean Eddy Episode - YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Jean%20Eddy%20Episode%20-%20YouTube%20Package%2024cafe52ef5980c2aba2cc2d4d8fd0e8.md), Why Middle School Matters More Than College Prep: The Science Parents Are Missing - Jean Eddy (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Why%20Middle%20School%20Matters%20More%20Than%20College%20Prep%20T%20253afe52ef5980be8ebee7b6c4065ae4.md), Jean Eddy - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Jean%20Eddy%20-%20Social%20Media%20Package%20253afe52ef5980bf9f10ed3f57d9c048.md)"
Kade Hinkle,Isaac,,,https://web.descript.com/1f957d7b-4ae0-48ef-a0bd-dc6b0f98857a/ebe1e?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/7a3ac5d1-ea3b-4c0f-a2a6-fb9ac1cf16e1?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Kade Hinkle - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kade%20Hinkle%20-%20Youtube%20Package%20253afe52ef5980619d2dd60b5f717f46.md), Kade Hinkle - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kade%20Hinkle%20-%20Social%20Media%20Package%20253afe52ef5980e88586cf0c02ec88c1.md), Kade Hinkle - Newsletter Draft Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kade%20Hinkle%20-%20Newsletter%20Draft%20Package%20253afe52ef5980fb866ffabb9f2dc7d7.md)"
Dave Hoffman,"Ela, Isaac, Matt",,,https://web.descript.com/a25d8f62-4116-414a-b417-f6b636abfa73?kind=video_project&lite=false,Not started,"November 6, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/8c12ee62-8077-4b7f-b1fe-34beed1f2994?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Dave Hoffman - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dave%20Hoffman%20-%20Blog%20Post%20Package%20253afe52ef59800d8249c2b3bee99fe1.md), Dave Hoffman - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dave%20Hoffman%20-%20Social%20Media%20Package%20253afe52ef598010939fd42fa983cc9a.md), Dave Hoffman - Newsletter Draft Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dave%20Hoffman%20-%20Newsletter%20Draft%20Package%20253afe52ef5980d4a71ec60db328f56a.md), Dave Hoffman - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dave%20Hoffman%20-%20Youtube%20Package%20253afe52ef5980da81e0c77190c624dc.md)"
Kristin & Ginger,Ela,,,https://share.descript.com/view/vYZP8L17hgu,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/f311d6df-a3c5-449a-941e-187ea6de84fb?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,https://youtu.be/hbOoHZOAYqo,"Kristin & Ginger - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kristin%20&%20Ginger%20-%20Youtube%20Package%20253afe52ef598040868dd92c40b693f4.md), Kristin & Ginger - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kristin%20&%20Ginger%20-%20Social%20Media%20Package%20253afe52ef59808187d4f23ad19c5a12.md), Kristin & Ginger - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kristin%20&%20Ginger%20-%20Blog%20Post%20Package%20253afe52ef5980e19ac1d4ffc949bd57.md), The Lost Art of Play: What Two Teachers Discovered When They Stopped Managing Childhood (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Lost%20Art%20of%20Play%20What%20Two%20Teachers%20Discovered%20%20253afe52ef5980e3b1cdf94ab92bf096.md)"
Chavilah and Charlie,Charlie,,,,Not started,,,Done,,,Done,,,
Janae Daniels,Ela,,,https://web.descript.com/328ba280-a170-4586-9218-955dbaac8345/6ad5f?editorVariant=default,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/a92b84f9-fdba-428a-8a1e-7820a15cc597?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Janae Daniels - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Janae%20Daniels%20-%20Social%20Media%20Package%2025aafe52ef5980859a88da73e8088446.md), Janae Daniels Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Janae%20Daniels%20Podcast%2025aafe52ef59808b8651c01751ffbbfa.md), Janae Daniels - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Janae%20Daniels%20-%20Youtube%20Package%2025aafe52ef5980c2a31be7a7456c42d6.md)"
Michael Gibson,"Ela, Isaac, Matt",,,https://share.descript.com/view/ohKxfOLqcw6,Not started,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/68b1ddc562250c50cf565e01?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,,,"Michael Gibson - YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michael%20Gibson%20-%20YouTube%20Package%2025eafe52ef598093b580f0687f0f9649.md), Michael Gibson - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michael%20Gibson%20-%20Blog%20Post%20Package%2025eafe52ef5980a19b22fdde079536f6.md), Michael Gibson - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Michael%20Gibson%20-%20Social%20Media%20Package%2025eafe52ef5980b5b33af28fcff03b8d.md), OED - Thurs. Michael Gibson (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%20-%20Thurs%20Michael%20Gibson%2025eafe52ef5980e3a69fd6ac696138a2.md), Mike Gibson (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Mike%20Gibson%20264afe52ef5980bfb6ecdc5dd3dba13c.md)"
Kenneth Danford,"Ela, Isaac, Matt",,,https://web.descript.com/f2d0c580-345d-4923-9736-f6ccf93c66d9?kind=video_project&lite=false,Not started,"October 30, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/24f53e3d-ed45-4b2a-adb0-5eb0ddc58374?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,OpenEd%20Daily/Kenneth_Danford.png,,"Kenneth Danford - Newsletter Draft Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kenneth%20Danford%20-%20Newsletter%20Draft%20Package%20262afe52ef59807eae52e6f9f78d7772.md), Ken Danford — YouTube & Show Notes (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ken%20Danford%20%E2%80%94%20YouTube%20&%20Show%20Notes%20278afe52ef59806fa72dc19766971a4b.md), Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20Package%20299afe52ef59803eb19ad7956d451ca0.md)"
Kerry Owen,"Ela, Matt",,,https://web.descript.com/6480f8a6-16fc-4bfa-9ad4-52c2a2a62aa1/725b8?kind=video_project&lite=false,Not started,"October 16, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/68c4816baa15a8650ca37e92?activeTab=recordings&hls=true,,Done,,,"Kerry Owens - YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kerry%20Owens%20-%20YouTube%20Package%2026fafe52ef5980779dd6df7b01315f46.md), Kerry Owens - Newsletter Draft Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kerry%20Owens%20-%20Newsletter%20Draft%20Package%2026fafe52ef5980d1aca2ce6a7eccd215.md), Kerry Owens - Social Media  Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Kerry%20Owens%20-%20Social%20Media%20Package%2026fafe52ef5980d880e4f7570089997a.md), Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20Package%20278afe52ef5980448ebcd44d91fadceb.md)"
Anjan Katta,"Ela, Isaac, Matt",,,https://web.descript.com/9a039245-2b38-4f21-9cb5-422b71e3a05a/0e8eb?editorVariant=default,Not started,"October 9, 2025",,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/eae2a1b5-e643-475d-90f9-f696c14d7070?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Anjan Katta Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Anjan%20Katta%20Podcast%2027eafe52ef59805bbec3da015c9d845e.md), Anjan Kata - Clips & Social Rollout Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Anjan%20Kata%20-%20Clips%20&%20Social%20Rollout%20Package%2027eafe52ef5980d791b6fe3d8502873d.md), Anjan Katta (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Anjan%20Katta%20281afe52ef598075be68f5cf8ecb3078.md)"
Ben Somers,,,,https://web.descript.com/f081bf7b-bc7f-448d-871d-4c7e79580205,Not started,"October 23, 2025",,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/a48ccbee-b484-4d00-b981-5565518e36eb?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"YouTube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/YouTube%20Package%2027eafe52ef5980f6be2efde372d01c03.md), Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Social%20Media%20Package%2027eafe52ef59805f80f8fcd2df30dd0f.md), Untitled (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Untitled%20289afe52ef5980bfb3b4c5edb4fb6992.md), Ben Somers Daily + Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Ben%20Somers%20Daily%20+%20Blog%20289afe52ef59800ea5e8ccabccc19152.md)"
Amy Moore,,,,https://share.descript.com/view/Hv3PFR0qowB,Not started,"November 13, 2025",,Not started,,,Done,,,"Dr. Amy Moore - YouTube & Show Notes (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dr%20Amy%20Moore%20-%20YouTube%20&%20Show%20Notes%202aaafe52ef5980c48041ebb610b0afbe.md), Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%20Package%202aaafe52ef5980f299a5f8c87fac9b55.md), Amy Moore - Name it to Tame it (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Amy%20Moore%20-%20Name%20it%20to%20Tame%20it%202abafe52ef59808b8ddadec310e97d17.md)"
Peter Gray,,,,https://share.descript.com/view/JsdqTyGMbGC,Not started,"November 20, 2025",,Not started,https://drive.google.com/drive/folders/1v91xTAsxt6PVmhpWiftUsAWAy7Ht6aah?usp=drive_link,,Done,,,"Peter Gray Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Peter%20Gray%20Podcast%202acafe52ef5980cb843ccd96e234607e.md), CLIP 3: Why We Blame the Wrong Thing (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%203%20Why%20We%20Blame%20the%20Wrong%20Thing%202afafe52ef59800f8a95dc6c710b8953.md), CLIP 2: Computer Games Are Real Play (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%202%20Computer%20Games%20Are%20Real%20Play%202afafe52ef5980a59e93dd1593299368.md), CLIP 1: School as a Measuring Stick (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%201%20School%20as%20a%20Measuring%20Stick%202afafe52ef598058b221f6fb0292f50f.md)"
Deborah Pratt,,,,https://web.descript.com/a5b98c6c-4cf3-4330-9568-70f10f6161bf/e190b?editorVariant=default,Not started,"December 4, 2025",,Not started,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/68e02c7cb7a159dfdb953f64,,Done,,,"Deborah Pratt - YouTube Show Notes (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Deborah%20Pratt%20-%20YouTube%20Show%20Notes%202a0afe52ef5980a1a45fee25f50ea5c0.md), Deborah Pratt Newsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Deborah%20Pratt%20Newsletter%202bdafe52ef5980bf88f6fdc9473ca406.md), The 1 subject that lights up your brain (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%201%20subject%20that%20lights%20up%20your%20brain%202beafe52ef5980db82deec96a67d8d00.md), this is what your kid will regret (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/this%20is%20what%20your%20kid%20will%20regret%202beafe52ef598054abe6f4da4adb488a.md)"
